St„davtalNr	Radnummer	Konto	Ansvar	Projekt	Anl	Verksamhet	Aktivitet	Motpart	Objekt/Frikod	MK	MS	Period	Periodiseringsnyckel	 Val.belopp 	Valuta	 Belopp 	Text	
92	341	6132	52200			9257	5161	180				202501		 1 658 		 1 658 	Karlsundsprojektet kansli	
92	342	3153	41621			9349	8036	150				202501		-1 658 		-1 658 	Karlsundsprojektet kansli	
93	343	6132	52200			9257	5161	180				202501		 153 		 153 	Karlsundsprojektet kansli best„llning	
93	344	3153	41621			9349	8036	150				202501		-153 		-153 	Karlsundsprojektet kansli best„llning	
94	345	6132	70253			5686	7600	180				202501		 7 102 		 7 102 	Tyghuset v†ning 2 IOF	
94	346	3153	41632			9349	8036	170				202501		-7 102 		-7 102 	Tyghuset v†ning 2 IOF	
95	347	6132	91625			4071	9502	180				202501		 7 247 		 7 247 	Neptun fsk 20240815-20241220	
95	348	3153	41633			9349	8036	120				202501		-7 247 		-7 247 	Neptun fsk 20240815-20241220	
96	349	6132	80601			9340	8105	180				202501		 28 993 		 28 993 	Emaljgatan 1 C v†ning 0,1,2	
96	350	3153	41611			9349	8036	180				202501		-26 535 		-26 535 	Emaljgatan 1 C v†ning 0,1,2	
96	351	3153	41612			9347	8035	180				202501		-2 457 		-2 457 	Emaljgatan 1 C v†ning 0,1,2	
97	352	6132	70231			5686	7600	180				202501		 1 325 		 1 325 	IOF Extratj„nst R†dstugan	
97	353	3153	41632			9349	8032	170				202501		-1 325 		-1 325 	IOF Extratj„nst R†dstugan	
																		
																		
																		
																		
																		
